DesignPt#,crn_across_solns,eta_1,eta_2,gamma_1,gamma_2,lambda_min,easy_solve,reuse_points,ps_sufficient_reduction,initial_solution,budget,sales_price,purchase_price,Burr_c,Burr_k,salvage_price,MacroRep#,Final Relative Optimality Gap,Area Under Progress Curve,0.05-Solve Time,0.05-Solved? (Y/N),0.1-Solve Time,0.1-Solved? (Y/N),0.2-Solve Time,0.2-Solved? (Y/N),0.5-Solve Time,0.5-Solved? (Y/N)
14,True,0.1,1.19,1.5,0.5,66,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,0.896184047749695,0.9339999999999999,inf,0,inf,0,inf,0,inf,0
15,True,0.438,1.31,1.5,0.5,10,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,0.896184047749695,0.9144219867617779,inf,0,inf,0,inf,0,inf,0
15,True,0.438,1.31,1.5,0.5,10,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,0.896184047749695,0.9120342198600209,inf,0,inf,0,inf,0,inf,0
15,True,0.438,1.31,1.5,0.5,10,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,0.896184047749695,0.9125532996212724,inf,0,inf,0,inf,0,inf,0
15,True,0.438,1.31,1.5,0.5,10,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,0.896184047749695,0.9136952750960258,inf,0,inf,0,inf,0,inf,0
15,True,0.438,1.31,1.5,0.5,10,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,0.896184047749695,0.9135914591437755,inf,0,inf,0,inf,0,inf,0
16,True,0.494,0.63,1.5,0.5,33,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,0.896184047749695,0.9526733985894579,inf,0,inf,0,inf,0,inf,0
16,True,0.494,0.63,1.5,0.5,33,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,0.37459097923439943,0.918167059880572,inf,0,inf,0,inf,0,0.943,1
16,True,0.494,0.63,1.5,0.5,33,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,0.896184047749695,0.952050502875956,inf,0,inf,0,inf,0,inf,0
16,True,0.494,0.63,1.5,0.5,33,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,0.896184047749695,0.9518428709714555,inf,0,inf,0,inf,0,inf,0
16,True,0.494,0.63,1.5,0.5,33,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,0.896184047749695,0.9593176195334774,inf,0,inf,0,inf,0,inf,0
17,False,0.381,1.5,1.5,0.5,83,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,0.896184047749695,0.917,inf,0,inf,0,inf,0,inf,0
17,False,0.381,1.5,1.5,0.5,83,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,1.0,0.917,inf,0,inf,0,inf,0,inf,0
17,False,0.381,1.5,1.5,0.5,83,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,1.0,0.917,inf,0,inf,0,inf,0,inf,0
17,False,0.381,1.5,1.5,0.5,83,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,1.0,0.917,inf,0,inf,0,inf,0,inf,0
17,False,0.381,1.5,1.5,0.5,83,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,0.896184047749695,0.917,inf,0,inf,0,inf,0,inf,0
18,False,0.156,0.75,1.5,0.5,89,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,1.0,0.911,inf,0,inf,0,inf,0,inf,0
18,False,0.156,0.75,1.5,0.5,89,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,1.0,0.911,inf,0,inf,0,inf,0,inf,0
18,False,0.156,0.75,1.5,0.5,89,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,1.0,0.911,inf,0,inf,0,inf,0,inf,0
18,False,0.156,0.75,1.5,0.5,89,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,1.0,0.911,inf,0,inf,0,inf,0,inf,0
18,False,0.156,0.75,1.5,0.5,89,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,1.0,0.911,inf,0,inf,0,inf,0,inf,0
19,False,0.213,0.94,1.5,0.5,16,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,0.3710891601732429,0.9199455574615618,inf,0,inf,0,inf,0,1.0,1
19,False,0.213,0.94,1.5,0.5,16,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,0.10588780514040376,0.5166803667987878,inf,0,inf,0,0.485,1,0.485,1
19,False,0.213,0.94,1.5,0.5,16,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,-0.007365315952596704,0.4179873750520888,0.444,1,0.444,1,0.444,1,0.444,1
19,False,0.213,0.94,1.5,0.5,16,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,0.43601657026090346,0.9281470176893359,inf,0,inf,0,inf,0,1.0,1
19,False,0.213,0.94,1.5,0.5,16,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,0.0410895850002623,0.9202570053183127,1.0,1,1.0,1,1.0,1,1.0,1
20,False,0.269,1.13,1.5,0.5,38,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,0.896184047749695,0.9575359140532369,inf,0,inf,0,inf,0,inf,0
20,False,0.269,1.13,1.5,0.5,38,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,0.896184047749695,0.9613771042864981,inf,0,inf,0,inf,0,inf,0
20,False,0.269,1.13,1.5,0.5,38,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,0.896184047749695,0.9608580245252466,inf,0,inf,0,inf,0,inf,0
20,False,0.269,1.13,1.5,0.5,38,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,0.896184047749695,0.962,inf,0,inf,0,inf,0,inf,0
20,False,0.269,1.13,1.5,0.5,38,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,0.896184047749695,0.9533832759632247,inf,0,inf,0,inf,0,inf,0
21,False,0.775,1.44,1.5,0.5,49,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,0.896184047749695,0.951,inf,0,inf,0,inf,0,inf,0
21,False,0.775,1.44,1.5,0.5,49,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,0.896184047749695,0.951,inf,0,inf,0,inf,0,inf,0
21,False,0.775,1.44,1.5,0.5,49,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,0.896184047749695,0.951,inf,0,inf,0,inf,0,inf,0
21,False,0.775,1.44,1.5,0.5,49,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,0.896184047749695,0.951,inf,0,inf,0,inf,0,inf,0
21,False,0.775,1.44,1.5,0.5,49,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,0.896184047749695,0.951,inf,0,inf,0,inf,0,inf,0
22,False,1.0,0.81,1.5,0.5,44,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,0.896184047749695,0.956,inf,0,inf,0,inf,0,inf,0
22,False,1.0,0.81,1.5,0.5,44,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,0.896184047749695,0.956,inf,0,inf,0,inf,0,inf,0
22,False,1.0,0.81,1.5,0.5,44,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,0.896184047749695,0.956,inf,0,inf,0,inf,0,inf,0
22,False,1.0,0.81,1.5,0.5,44,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,0.896184047749695,0.956,inf,0,inf,0,inf,0,inf,0
22,False,1.0,0.81,1.5,0.5,44,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,0.896184047749695,0.956,inf,0,inf,0,inf,0,inf,0
23,False,0.663,0.69,1.5,0.5,100,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,1.0,0.9,inf,0,inf,0,inf,0,inf,0
23,False,0.663,0.69,1.5,0.5,100,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,1.0,0.9,inf,0,inf,0,inf,0,inf,0
23,False,0.663,0.69,1.5,0.5,100,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,1.0,0.9,inf,0,inf,0,inf,0,inf,0
23,False,0.663,0.69,1.5,0.5,100,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,1.0,0.9,inf,0,inf,0,inf,0,inf,0
23,False,0.663,0.69,1.5,0.5,100,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,1.0,0.9,inf,0,inf,0,inf,0,inf,0
24,False,0.606,1.38,1.5,0.5,78,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,0.896184047749695,0.922,inf,0,inf,0,inf,0,inf,0
24,False,0.606,1.38,1.5,0.5,78,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,0.896184047749695,0.922,inf,0,inf,0,inf,0,inf,0
24,False,0.606,1.38,1.5,0.5,78,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,0.896184047749695,0.922,inf,0,inf,0,inf,0,inf,0
24,False,0.606,1.38,1.5,0.5,78,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,0.896184047749695,0.922,inf,0,inf,0,inf,0,inf,0
24,False,0.606,1.38,1.5,0.5,78,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,4,0.896184047749695,0.922,inf,0,inf,0,inf,0,inf,0
25,False,0.55,1.0,1.5,0.5,55,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,0,0.896184047749695,0.945,inf,0,inf,0,inf,0,inf,0
25,False,0.55,1.0,1.5,0.5,55,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,1,0.896184047749695,0.945,inf,0,inf,0,inf,0,inf,0
25,False,0.55,1.0,1.5,0.5,55,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,2,0.896184047749695,0.945,inf,0,inf,0,inf,0,inf,0
25,False,0.55,1.0,1.5,0.5,55,True,True,0.1,"(0,)",1000,15,10,2.0,20.0,1.0,3,0.896184047749695,0.945,inf,0,inf,0,inf,0,inf,0
